from,to,similarity
2,6,0.644902021637
2,7,0.56603808448
2,8,0.304009728467
2,9,0.74650890269
2,10,0.655825835784
2,11,0.388232710731
2,12,0.441389807255
2,13,0.0465242105199
2,14,0.619779786801
2,15,0.0
2,16,0.0
2,17,0.120482899335
2,18,0.53809451153
2,19,0.872583266678
2,20,0.800132264199
2,21,0.0
2,22,0.894078009963
2,23,0.0
2,24,0.580575714785
2,25,0.0
2,26,0.783627778138
2,27,0.513264902575
2,28,0.418166698791
2,29,0.414780677892
2,30,0.0
2,31,0.493128967573
2,32,0.562543950463
2,33,0.0
2,34,0.866138072152
2,35,0.879211664147
2,36,0.859124692984
2,37,0.816982446238
2,38,0.803637563416
2,39,0.623764287096
2,40,0.552818655265
2,41,0.894370836705
2,42,0.204335344611
2,43,0.681005224607
2,44,0.360041149912
2,45,0.497468338163
2,46,0.90707884045
2,47,0.887776030286
2,48,0.384948676931
2,49,0.757056357452
2,50,0.517454889668
2,51,0.241966959248
2,52,0.0
2,53,0.0567961834247
2,54,0.0
2,55,0.101273936708
2,56,0.857250857251
2,57,0.0
2,58,0.0
2,59,0.0
2,60,0.430820218428
2,61,0.963293367146
2,62,0.202325659556
2,63,0.0
2,64,0.0
2,65,0.130558241967
2,66,0.128036879933
2,67,0.198029508595
2,68,0.250479693438
2,69,0.905098048688
2,70,0.822822812644
2,71,0.0
2,72,0.209369569036
2,73,0.512557730065
2,74,0.381000381001
2,75,0.0
2,76,0.0
2,77,0.970030848966
2,78,0.625054110212
2,79,0.892533941728
2,80,0.205556612948
2,81,0.0
2,82,0.754464550354
2,83,0.0
2,84,0.0
2,85,0.0
2,86,0.251754407489
2,87,0.906360646481
2,88,0.828372125359
2,89,0.857916957156
2,90,0.226778683806
2,91,0.785674201318
2,92,0.879782224973
2,93,0.831384783295
2,94,0.0
2,95,0.965836304618
2,96,0.835936975712
2,97,0.144004608221
2,98,0.0
2,99,0.851662460937
2,100,0.752608703529
2,101,0.800926049907
2,102,0.0863868425581
2,103,0.0
2,104,0.28102505044
2,105,0.0
2,106,0.0
2,107,0.705345615859
2,108,0.710559712406
2,109,0.804131560121
2,110,0.397573283973
2,111,0.0
2,112,0.0
2,113,0.197385508488
2,114,0.0779812867365
2,115,0.291998558035
2,116,0.0
2,117,0.0
2,118,0.0
2,119,0.0
2,120,0.22086305215
